Date,Adj Close
2017-09-08,12.55
2017-09-11,12.7
2017-09-12,12.65
2017-09-13,12.9
2017-09-14,12.65
2017-09-15,12.7
2017-09-18,12.65
2017-09-19,12.65
2017-09-20,12.75
2017-09-21,12.9
2017-09-22,13.1
2017-09-25,13.15
2017-09-26,13.2
2017-09-27,13.4
2017-09-28,13.75
2017-09-29,13.65
2017-10-02,13.75
2017-10-03,13.8
2017-10-04,13.75
2017-10-05,14.05
2017-10-06,14.05
2017-10-09,13.95
2017-10-10,14.0
2017-10-11,14.05
2017-10-12,14.0
2017-10-13,13.95
2017-10-16,13.95
2017-10-17,13.7
2017-10-18,13.7
2017-10-19,13.6
2017-10-20,13.55
2017-10-23,13.35
2017-10-24,13.1
2017-10-25,13.1
2017-10-26,12.95
2017-10-27,13.2
2017-10-30,13.15
2017-10-31,13.15
2017-11-01,13.1
2017-11-02,13.15
2017-11-03,13.1
2017-11-06,13.05
2017-11-07,12.05
2017-11-08,11.95
2017-11-09,11.8
2017-11-10,11.95
2017-11-13,12.0
2017-11-14,12.05
2017-11-15,12.05
2017-11-16,12.3
2017-11-17,12.4
2017-11-20,12.3
2017-11-21,12.45
2017-11-22,12.4
2017-11-24,12.45
2017-11-27,12.5
2017-11-28,12.4
2017-11-29,12.5
2017-11-30,12.4
2017-12-01,12.4
2017-12-04,12.5
2017-12-05,12.3
2017-12-06,12.25
2017-12-07,12.3
2017-12-08,12.25
2017-12-11,12.25
2017-12-12,12.3
2017-12-13,12.3
2017-12-14,12.25
2017-12-15,12.35
2017-12-18,12.65
2017-12-19,12.35
2017-12-20,12.35
2017-12-21,12.4
2017-12-22,12.25
2017-12-26,12.25
2017-12-27,12.25
2017-12-28,12.35
2017-12-29,12.25
2018-01-02,12.25
2018-01-03,12.35
2018-01-04,12.5
2018-01-05,12.4
2018-01-08,12.4
2018-01-09,12.3
2018-01-10,12.3
2018-01-11,12.75
2018-01-12,12.9
2018-01-16,12.8
2018-01-17,12.9
2018-01-18,12.85
2018-01-19,13.1
2018-01-22,12.65
2018-01-23,12.55
2018-01-24,12.75
2018-01-25,12.6
2018-01-26,12.85
2018-01-29,12.9
2018-01-30,12.9
2018-01-31,12.9
2018-02-01,12.8
2018-02-02,12.25
2018-02-05,11.9
2018-02-06,12.3
2018-02-07,12.35
2018-02-08,12.05
2018-02-09,12.3
2018-02-12,12.35
2018-02-13,12.25
2018-02-14,12.4
2018-02-15,12.3
2018-02-16,12.4
2018-02-20,12.3
2018-02-21,12.3
2018-02-22,12.35
2018-02-23,12.3
2018-02-26,12.45
2018-02-27,11.7
2018-02-28,11.55
2018-03-01,11.25
2018-03-02,11.45
2018-03-05,12.1
2018-03-06,12.25
2018-03-07,12.55
2018-03-08,12.35
2018-03-09,12.65
2018-03-12,12.5
